FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (FRANÇAIS (FRANCE))]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_r08tnwhvh7zdyrc1		Bonjour Isabelle, assieds-toi.	Hubert		
tm_8gre4kvtx68uyvr8		Je t'ai fait venir ici pour te confier une mission.	Hubert		
tm_0iz9d386lwju25kg	Tu sais, ce petit village de Ramatowa, qui nous oblige à faire un détour de 60 km, parce qu'il se situe de l'autre côté de la rivière de Bamalowi ?	Tu sais, ce petit village de Ramatowa qui nous oblige à faire un détour de 60 km parce qu'il se situe de l'autre côté de la rivière de Bamalowi ?	Hubert		
tm_kw8v6qxjamy8iz92		Écoute, j'ai bien réfléchi et je pense que l'on peut améliorer la situation.	Hubert		
tm_uxo40zqarf2qr40h		Il suffirait de disposer d'un ou deux drones assez costauds qui nous permettraient  de faire franchir la rivière aux médicaments destinés à Ramatowa.	Hubert		
tm_hcflw54q7u0t65f5		Les gens du dispensaire les récupéreraient de l'autre côté de la rivière, et hop le tour est joué.	Hubert		
tm_vwg897irypadwy8r		T'imagines le gain en essence et en temps !!	Hubert		
tm_y14j0y25cadef2hb		Mais Isabelle, les gains sont évidents !	Hubert		
tm_263scxnxazg6jev7		Le camion mets deux heures pour parcourir les 60 km car la piste est très difficile.	Hubert		
tm_4m5nlebk7yho4xqc	De plus, il consomme au moins 15 litres pour parcourir cette distance. Nous effectuons cette tournée douze fois dans l'année.	De plus, il consomme au moins 15 L  pour parcourir cette distance. Nous effectuons cette tournée douze fois dans l'année.	Hubert		
tm_wjb7ihwj75622sc5	Cela nous ferait économiser 180 litres d'essence, et l'essence est rare en brousse.	Cela nous ferait économiser 180 L d'essence, et l'essence est rare en brousse.	Hubert		
tm_nr1uvt4od3eei3br	180 litres ce n'est pas négligeable, ça nous ferait économiser plus de 2000€ par an. Si on construit deux drones à moins de 2000 € chacun, nous revenons dans nos frais en 2 ans.	180 L ce n'est pas négligeable, ça nous ferait économiser plus de 2000 € par an. Si on construit deux drones à moins de 2000 € chacun, nous revenons dans nos frais en 2 ans.	Hubert		
tm_v86f0hfe3pdzbb4e		OK Isabelle, je reconnais bien ta rigueur. On se revoit dans deux jours pour en rediscuter ?	Hubert		
tm_56g57kv2764gvqbk		OK ! Allez, je te libère. Bonne journée !	Hubert		
tm_8mn7jnhl813mfhiy		Effectivement, je n'avais pas pensé à tous ces aspects.	Hubert		
tm_0wp4l82kultm4ct2		Mais penses-tu que le projet reste intéressant ?	Hubert		
tm_a7dwlwn7m1iksffr		Je vois que tu as pensé à tous les aspects de ce projet. Vu les enjeux évoqués, je suis OK pour te débloquer ces 4000 €.	Hubert		
tm_ktgy3s250vnzwjme		Bon, ben on y va alors ! Allez, au boulot, tu as 6 mois pour finir ce projet, motivant, non ?	Hubert		
tm_4qd1eooy4wd5m7rq		Pas de problème, j'enverrai Magali à ta place. Ce projet est plus urgent.	Hubert		
tm_enxxtudgz48fy73n		Oh, que d'exigences !	Hubert		
tm_tt75npzegug6oe39		Tu ne veux pas un bureau avec un distributeur de café aussi ?	Hubert		
tm_wqjnpbnsjk2mvr8l		OK, OK, tout ce que tu voudra. Je lui dirai demain matin de venir t'aider.	Hubert		
