FORMAT:REFORMULATION					
[TEXT ID]	[TEXTE PRONONCÉ (ENGLISH)]	[TEXTE AFFICHÉ]	[PERSONNAGE]	[NOTES]	
tm_r08tnwhvh7zdyrc1		Hi Isabelle ! Come have a seat.	Hubert		
tm_8gre4kvtx68uyvr8		I asked you to come here to put you in charge of a mission.	Hubert		
tm_0iz9d386lwju25kg	You know, that little village of Ramatowa, who forces us to make a 36 miles detour, because it is on the other side of the Bamalowi river ?	You know, that little village of Ramatowa who forces us to make a 36 miles detour because it is right accross Bamalowi's river ?	Hubert		
tm_kw8v6qxjamy8iz92		Listen. I thought about it, and I think we could make the situation better.	Hubert		
tm_uxo40zqarf2qr40h	We just need one or two powerful enough drones, that could carry the medicines accross the river to Ramatowa.	We just need one or two powerful enough drones that could carry the medicines accross the river to Ramatowa.	Hubert		
tm_hcflw54q7u0t65f5		The guys from the station pick them on the other side, and that's it !	Hubert		
tm_vwg897irypadwy8r		Do you imagine the economy of fuel and time ?	Hubert		
tm_y14j0y25cadef2hb	But Isabelle, the economy is evident ! The truck takes two hours to drive the 36 miles, because the road is really horrendous.	But Isabelle, the economy is evident ! The truck takes two hours to drive the 36 miles because the road is really horrendous.	Hubert		
tm_263scxnxazg6jev7		Moreover, it burns 4 gallons of fuel to drive that distance.	Hubert		
tm_4m5nlebk7yho4xqc		We do this trip 12 times a year.	Hubert		
tm_wjb7ihwj75622sc5		This avoids us 24 hours of travel and would spare 48 gallons each year. 48 gallons is not negligeable, and this would mean at least 2 000 € spared each year.	Hubert		
tm_nr1uvt4od3eei3br		If we build 2 drones for less than 2000€ each, we will break even in 2 years.	Hubert		
tm_v86f0hfe3pdzbb4e		OK Isabelle, I recognize you were right. Let's meet in 2 days to talk about it ?	Hubert		
tm_56g57kv2764gvqbk		That alright for me. Have a nice day !	Hubert		
tm_8mn7jnhl813mfhiy		You're right, I didn't think about all of that.	Hubert		
tm_0wp4l82kultm4ct2		Do you estimate the project is still relevant ?	Hubert		
tm_a7dwlwn7m1iksffr		I see you thought about every aspect. With these selling points, I'm OK for a 4000€ budget.	Hubert		
tm_ktgy3s250vnzwjme		So let's go ! You have six months, motivating isn't it ?	Hubert		
